,loading,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
99,103.16,1,18.693,12.105,17.347,17.379,13.083,18.063,10.086,15.706,20.944,12.236,14.775,17.291,15.209,17.805,643.647,1
100,121.74,6,18.837,10.375,17.382,14.786,10.896,19.102,10.191,18.034,19.449400000000004,14.44,15.913,15.214,13.979,17.473,608.813,0
101,106.55,6,17.76,11.756,16.088,17.358,11.235,19.711,11.173,15.877,18.729,14.124,16.006,14.73,13.674,16.267,675.339,0
102,124.01,7,18.932,11.849,19.955,17.94,14.486,20.419,10.843,14.535,20.12,11.086,16.465,13.945,14.8,17.067,1060.152,0
103,161.53,8,16.696,11.731,16.469,16.104,11.339,18.96,11.2654,15.493,22.348,12.569,15.208,15.647,13.134,16.842,608.559,0
104,99.36,5,18.461,11.037,18.155,15.862,11.529,19.112,12.527,17.775,20.884,14.691,15.728,14.173,13.456,16.617,724.297,0
105,152.25,7,17.867,10.405,16.931,16.823,10.812,21.642,12.419,17.362,20.273,13.79,15.703,14.663,11.988,14.12,829.183,1
106,161.55,8,16.664,12.997,15.779,15.937,11.633000000000001,19.342,10.113,11.885,15.607,12.387,14.448,16.4598,15.338,14.522,616.686,0
107,147.49,13,17.441,10.323,16.93,18.999,11.249,18.505,9.868,15.102800000000002,19.183,11.934,15.8184,15.133,14.739,18.947,655.741,0
108,194.7,1,17.642,11.892,18.736,16.872,11.926,19.59,12.162,15.261,18.8,11.879,16.351,18.855,12.382,15.652,831.163,1
109,119.22,6,17.708,13.332,17.061,16.797,10.292,20.507,11.095,13.658,19.085,12.27,15.756,16.433,15.45,14.443,779.24,0
110,149.97,3,15.709,11.93,16.502,18.489,12.846,19.74,11.831,17.12,20.508,12.294,16.747,18.132,13.79,17.468,776.166,0
111,256.25,3,17.336,11.115,16.693,16.659,13.3476,19.492,13.09,15.949,19.995,13.469,14.771,18.056,13.669,16.839,681.19,1
112,122.87,11,17.996,12.919,17.186,18.705,14.178,19.598,11.137,15.705,19.248,9.894,13.039,17.526,13.13,15.121,860.117,0
113,116.84,1,18.852,11.388,18.336,17.018,10.59,18.876,10.153,16.756,19.321,11.373,15.692,14.869,13.722,17.752,714.298,0
114,121.98,4,18.262,9.964,17.049,17.017,11.067,21.084,11.885,16.253,19.666,11.355,16.606,15.041,15.817,19.556,798.952,1
115,145.27,1,18.1804,11.085,16.073,18.223,11.376,19.93,12.037,16.938,21.941,11.664,14.536,15.832399999999998,13.949,17.697,708.644,1
116,101.2,6,17.66,10.661,15.99,16.987,12.169,19.047,10.096,17.321,19.467,10.878799999999998,15.919,15.912,15.98,19.445,614.374,0
117,113.19,2,17.984,11.043,18.234,15.955,11.774,19.568,10.368,17.718,20.884,11.729,15.328,20.148,10.079,14.862,757.154,1
118,71.96,5,16.07,12.977,17.538,17.622,11.798,19.026,12.233,16.024,21.033,12.256,15.658,14.072,15.33,18.361,748.615,1
119,88.92,7,20.096,11.506,18.493,17.715,11.135,19.088,12.684,14.607,18.406,8.807,14.915,13.7,13.617,16.555,774.13,0
120,89.68,8,19.105,11.866,16.726,17.374,12.568,19.365199999999998,12.127,16.399,21.319,11.076,15.1,18.975,11.618,15.435,779.609,0
121,86.02,8,17.9572,10.682,17.276,16.07,13.709,19.253,10.52,16.027,19.51,12.779,14.741,14.12,13.659,15.768,723.246,0
122,106.63,2,18.102,10.706,16.651,17.93,12.688,21.452,11.769,18.688,16.652,13.976,17.443,15.501,14.5862,18.042,879.395,0
123,150.0,6,18.257,11.708,16.588,20.233,12.279,19.458,10.575,16.168,21.578,11.4206,14.897,16.712,18.479,16.757,788.49,0
124,108.6,3,18.296,11.131,16.87,18.203,12.781,19.562,9.925,15.21,17.623,11.618,15.232,14.889,15.861,16.723,762.348,0
125,81.91,6,18.86,11.345,17.727,18.514,9.651,18.368,10.692,16.4574,20.111400000000003,11.405,16.99,18.959,13.468,16.006,654.238,0
126,131.01,10,17.074,12.494,16.996,16.971,10.06,20.019,11.998,14.834,18.02,13.461,16.894,12.021,11.303,14.659,724.423,1
127,128.18,4,18.4,10.903,16.44,15.338,11.688,18.218,10.687,15.65,17.001,7.864,16.187,17.475,17.759,16.301,526.522,0
128,80.0,4,18.359,11.325,17.408,17.191,10.004,17.802,10.011,16.572,18.022,11.443,15.766,17.858,13.592,15.391,565.069,0
129,127.37,3,19.55,10.877,17.544,16.937,12.104,21.682,11.591,15.456,17.924,13.142,13.147,15.003,12.859,16.548,912.12,0
130,88.29,0,19.753,10.841,16.173,17.254,11.836,18.276,10.869,15.105,19.179,12.614,15.51,15.946,13.387,14.712,568.145,1
131,100.77,10,18.319,12.172,16.346,16.9,12.644,18.206,11.931,15.241,19.369,11.478,14.53,18.027,13.229,15.91,603.832,0
132,97.64,7,18.393,11.984,17.192,17.792,12.92,18.466,12.627,16.171,19.388,11.369400000000002,16.116,18.134,13.011,15.194,702.323,1
133,155.81,6,17.915,11.827,16.499,17.4732,13.275,19.351,11.919799999999999,16.192,17.719,11.819,16.75,15.334,15.267,15.682,787.351,0
134,95.08,6,17.598,11.618,17.683,16.557,12.054,20.091,11.142,15.983,18.736,13.695,17.059,13.954,14.114,17.36,797.104,0
135,110.62,16,17.814,12.651,17.52,18.902,9.456,19.199,12.487,15.4886,16.537,11.779,16.767,14.602,16.684,16.624,730.673,0
136,128.62,2,19.51,10.059,17.616,16.39,9.805,19.765,9.838,17.201,16.155,13.117,16.771,15.989,13.845,18.535,683.991,0
137,166.0,7,16.767,11.1,15.71,17.84,11.044,18.186,12.28,15.828,18.39,11.681,13.014,13.958,13.189,18.1,533.722,0
138,173.59,2,16.693,11.2,16.275,17.0122,11.962,19.773,12.74,15.274,19.13,13.076,16.0,13.845,13.426,15.773,696.707,1
139,89.69,10,17.38,13.002,16.051,17.986,11.809,18.911,11.602,15.438,20.088,12.189,15.171,16.688,13.786,14.13,661.925,0
140,173.75,13,17.632,10.982,17.746,18.496,10.693,20.438,12.512,14.813,19.22,14.176,16.303,15.458,13.484,15.428,836.247,0
141,133.19,4,17.044,10.839,17.765,18.72,10.995,16.449,10.169,15.34,18.891,11.5902,15.762199999999998,15.494,14.129,17.2922,539.463,0
142,174.31,6,17.696,10.857,17.572,18.386,10.86,18.989,11.848,18.6,20.787,14.692,15.541,14.761,12.127,15.618,713.05,0
143,167.06,3,18.687,11.318,16.393,18.151,11.939,18.14,10.208,16.977,19.127,10.614,16.116,16.428,13.834,14.046,604.858,1
144,103.82,1,18.471,10.216,16.084,16.363,9.967,20.07,10.961,14.752,20.466,10.9996,15.032,17.649,15.361,16.689,621.999,0
145,123.22,4,18.285,11.586,16.789,17.8072,11.947,21.183,10.266,14.26,19.689,12.584,15.072,19.377,15.937000000000001,16.764,829.236,0
146,111.51,3,18.502,11.575,17.78,17.364,13.033,18.819,11.986,16.093,21.255,10.889,16.167,17.853,13.299,15.48,778.3138000000001,0
147,136.25,2,17.957,11.201,16.622,17.017,9.791,16.603,11.253,15.068,20.779,10.744,14.918,17.305,13.855,15.367,413.653,0
148,200.05,6,18.29,11.36,16.739,18.331,11.837,18.626,12.265,16.711,16.906,10.576,13.649,14.874,15.924,14.983,666.461,0
149,123.83,3,17.998,10.455,17.248,14.425,11.623,18.247,13.04,16.865,16.989,15.019,16.061,12.63,12.701,17.054,543.325,0
150,99.82,3,17.655,11.481,16.987,18.453,10.886,19.616,11.784,15.714,21.679,14.372,15.634,14.024,11.78,15.801,738.434,1
151,260.52,2,18.173,11.238,19.184,16.515,12.706,19.089,11.338,16.507,21.139,11.625800000000002,16.169,18.794,15.556,16.008,840.211,0
152,90.41,6,20.056,10.906,17.257,17.099,10.483,19.93,11.892,16.916,20.362,10.612,15.004,15.986,16.825,19.571,722.375,0
153,121.85,4,18.671,11.389,15.377,17.392,12.37,19.474,13.623,16.189,20.279,13.168,15.285,17.909,15.856,16.433,639.144,0
154,121.29,2,19.086,12.787,16.743,15.151,11.072,18.343,11.101,15.62,17.07,13.694,14.092,14.362,13.322,16.613,560.618,0
155,83.22,10,18.074,11.857,16.929,18.787,11.819,18.7988,11.205,16.326,19.659,11.749,14.8898,14.3764,13.089,15.5962,736.584,0
156,126.85,6,18.55,12.07,17.067,20.245,12.152,18.284,13.594,16.28,20.429,10.342,15.777,15.401,16.145,18.438,727.432,0
157,167.58,7,19.27,12.492,17.912,17.173,11.058,21.653,11.2594,17.324,21.069,15.465,15.136,14.705,17.464,19.022,936.812,0
158,118.87,0,17.566,10.627,17.708,17.142,10.229,18.5522,10.414,16.222,19.992,9.952,15.921,17.856,14.587,14.715,698.648,0
159,127.58,3,17.301,12.284,18.002,18.253,11.152,18.635,10.27,16.555,20.365,10.751,14.404,17.365,19.074,14.93,735.7,0
160,116.02,3,19.001,10.577,16.872,16.496,10.936,17.498,11.861,15.855,19.2494,13.776,13.848,16.225,15.555,19.506,502.482,1
161,71.82,4,18.885,10.981,17.671,17.8286,11.4732,19.118,11.661,14.884,19.629,11.142,16.305,15.068,16.058,17.67,728.781,0
162,131.06,8,17.124,12.243,17.181,16.72,11.496,18.333,10.289,14.406,20.108,12.173,14.8826,15.9632,12.561,16.125,632.508,0
163,83.9,4,17.243,12.567,16.256,18.346,11.81,18.659,11.618799999999998,17.666,19.12,13.503,14.2,14.4,13.669,16.83,656.677,0
164,91.43,9,16.016,11.48,16.324,15.762,12.312,20.96,12.478,17.328,17.552,12.632,16.111,16.559,14.094,17.889,766.298,0
165,137.23,6,15.449,11.719,17.756,17.359,11.04,19.162,10.8022,19.621,21.348,11.278,15.042,17.999,10.937,18.454,728.067,0
166,160.78,3,19.542,11.077,18.014,17.162,12.915,18.806,12.338,15.251,19.717,11.905,14.5886,17.783,12.563,16.483,746.717,0
167,93.93,6,16.394,11.878,16.876,15.617,11.911,19.4118,11.856,17.105,21.642,14.804,17.285,14.521,10.828,16.646,671.04,0
168,171.51,9,18.673,11.855,17.783,17.318,12.253,19.321,12.547,15.479,19.733,11.992,13.384,16.1702,13.061,14.751,772.558,0
169,206.98,5,17.291,11.377,16.778,17.21,12.413,19.458,12.825,16.615,21.553,11.754,13.976,17.978,15.121,18.468,717.094,0
170,128.26,6,17.595,13.037,18.311,17.564,12.755,19.194,10.471,15.367,20.362199999999998,13.577,14.583,16.161,14.67,15.881,831.168,1
171,119.09,15,18.124,11.436,16.462,17.083,11.218,18.835,12.573,15.975,19.5214,11.081,15.265,15.884,14.979,16.2416,614.5300000000001,0
172,129.5,6,16.606,9.811,18.88,17.735,11.349,18.585,10.402,16.636,20.1,11.9052,15.643,12.192,13.68,15.659,738.365,0
173,108.05,4,15.94,11.505,16.83,17.27,12.286,20.201,10.663,15.739,19.184,13.949,16.602,15.262,13.982,15.552200000000003,778.878,0
174,94.35,9,16.489,10.266,17.365,19.183,13.516,19.1162,10.354,15.81,17.602,11.722,15.297,14.865,15.397,16.417,822.582,0
175,147.89,6,16.668,11.439,16.801,18.773,11.011800000000001,18.898,11.035,16.944,20.903,12.356,14.566,14.2416,16.006,15.978,720.3146,0
176,151.24,10,18.795,12.363,16.997,17.448,13.182,18.754,11.683,16.045,17.773,12.689,15.468,16.262,15.139,19.099,689.958,0
177,104.93,4,19.579,12.247,16.841,17.907,11.606,19.281,11.398600000000002,15.261,18.908,11.927,17.145,16.229,12.765,15.463,718.648,0
178,108.01,5,17.384,12.606,17.242,17.304,9.466,19.09,11.334,13.879,19.414,14.991,15.25,19.496,16.427,18.218,663.477,0
179,101.18,8,16.395,11.082,16.799,16.936,11.602,17.315,9.299,18.578,19.88,11.293,16.113,14.656,15.655,17.412,521.749,1
180,98.84,7,19.833,11.445,16.4,18.686,10.705,18.98,11.73,16.281,14.267,10.271,16.485,16.446,17.378,15.536,655.172,1
181,91.23,6,17.568,10.533,16.566,17.203,11.185,19.71,12.34,14.914,20.183,13.332,16.034,15.7858,14.14,14.921,680.639,0
182,77.65,6,18.057,13.216,16.852,18.076200000000004,11.978,18.997,12.49,15.411,20.198,10.661,15.841,17.286,14.576,15.246,746.2114,0
183,159.84,1,19.026,12.342,16.963,16.66,11.683,18.91,13.64,16.419,18.2388,11.758,15.439,18.941,16.002,16.065,666.8,0
184,109.78,6,17.912,11.744,17.201,15.71,12.761,18.405,11.197,16.589,20.831,12.676,16.475,16.536,15.032,15.04,635.718,1
185,124.44,5,17.763,10.68,17.392,17.807,12.686,20.532,11.213,16.5904,14.752,9.853,16.427,15.9188,16.814,14.473,849.294,0
186,208.5,8,17.749,12.82,16.876,17.219,10.592,20.434,11.226,16.777,23.093,15.719,16.333,14.356,18.036,20.117,775.19,1
187,113.59200000000001,7,16.03,13.206,16.689,17.478,10.957,19.411,12.331,15.96,19.667,14.453,16.231,17.371,14.45,17.744,706.711,0
188,144.88,8,16.754,10.186,17.015,18.499,10.194,18.161,10.685,16.49,21.033,12.767,15.437,18.027,15.649,15.915,591.829,0
189,81.39,3,18.375,12.576,16.022,17.169,11.501,19.3856,11.288,14.066,19.3288,12.651,15.951,16.491,15.372,18.159,662.357,0
190,101.05,7,18.21,10.816,15.521,17.408,10.786,18.029,11.076,16.114,17.82,12.113,15.752200000000002,16.423,15.082,19.194,487.878,0
191,149.94,3,16.741,11.343,18.732,16.888,11.285,18.864,10.608,15.867,19.386,13.205,14.14,16.277,14.024,16.337,750.113,1
