PassengerId,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Expenditure,NoSpending,Group,GroupSize,Solo,CabinRegion_1,CabinRegion_2,CabinRegion_3,CabinRegion_4,CabinRegion_5,CabinRegion_6,CabinRegion_7,FamilySize,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CabinSide_P,CabinSide_S,CabinSide_Z,CabinDeck_A,CabinDeck_B,CabinDeck_C,CabinDeck_D,CabinDeck_E,CabinDeck_F,CabinDeck_G,CabinDeck_T,AgeEncoded
0008_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,8,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2.0
0008_03,0,0,-0.27846630894365126,4.286747104771074,0.6979183683103819,-0.17609028290032008,-0.1564925024844353,2.3828677028259317,0,8,3,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3.0
0009_01,0,0,-0.2269749793433466,-0.2838651282377854,1.5912136148567209,-0.2738262777680785,-0.16619187711539038,-0.05278097161531931,0,9,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0010_01,0,0,0.751360283062442,-0.283238587835728,-0.1786485028324676,-0.2738262777680785,-0.24466863549311788,-0.23061746945711625,0,10,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0
0011_01,0,0,-0.3254142859321643,0.32638522336613895,-0.2673088924709619,-0.2720492596795738,-0.2596585781045939,-0.16161690829449904,0,11,1,1,1,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0012_01,0,0,-0.28906746503783165,-0.2838651282377854,1.1780227423905305,-0.2738262777680785,-0.26583090741520166,-0.19540584288444046,0,12,1,1,1,0,0,0,0,0,0,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0014_01,0,0,1.6100539266910523,-0.20742719918678051,0.24624387867064568,-0.2738262777680785,-0.26583090741520166,0.09588856443562549,0,14,1,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0
0015_01,0,0,-0.3375298928969419,-0.283238587835728,-0.2873829429551493,-0.2738262777680785,0.2958510598501062,-0.2914375517190108,0,15,1,1,1,0,0,0,0,0,0,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0
0016_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,16,1,1,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.0
0017_01,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,17,2,0,1,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0017_02,0,0,0.28642386578910284,-0.2838651282377854,-0.28571010541480035,-0.2738262777680785,0.33288503571375283,-0.1299620116786592,0,17,2,0,1,0,0,0,0,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0
0020_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.0
0020_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.0
0020_03,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
0020_04,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.0
0020_05,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.0
0020_06,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,20,6,0,1,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.0
0022_01,0,0,1.1466319602883102,-0.2826120474336706,-0.1719571526710718,-0.2738262777680785,-0.26583090741520166,-0.14454460450168655,0,22,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2.0
0024_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,24,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4.0
0025_01,0,0,-0.3375298928969419,-0.14289353777486652,-0.2873829429551493,0.612905748395766,-0.26583090741520166,-0.08336884924410838,0,25,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0026_01,0,0,-0.3042119737438036,3.5211147334569097,-0.2873829429551493,1.0038497278667995,0.023386808853277097,2.2775884961035877,0,26,1,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0
0028_01,0,0,1.3662273365249036,-0.2838651282377854,-0.0598770374676922,-0.2311778436439657,-0.26583090741520166,-0.05278097161531931,0,28,1,1,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.0
0030_01,0,0,-0.3375298928969419,0.24869421351101925,-0.15188310218688442,0.11445217457019807,0.13360697511413028,0.12932360217468075,0,30,1,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0031_01,0,0,-0.01343740658914196,-0.2838651282377854,2.072990826477218,-0.2738262777680785,0.8178537672615069,0.4967338067158333,0,31,3,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.0
0031_02,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,31,3,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0
0031_03,0,0,0.5741143690847669,-0.2838651282377854,2.640082752655512,0.6057976760417471,-0.26583090741520166,0.6702892736327632,0,31,3,0,1,0,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0034_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,34,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2.0
0035_01,0,0,0.8497995896512597,0.3201198193455648,-0.2873829429551493,0.5711458233159055,-0.26583090741520166,0.4416044923848762,0,35,1,1,1,0,0,0,0,0,0,6,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0
0036_01,0,0,-0.3375298928969419,0.024392749574463878,-0.20708674101839974,-0.2560560968830315,0.08775538594961536,-0.17655517411320998,0,36,1,1,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0
0038_01,0,0,0.5014758894139046,-0.16168974983658904,-0.2873829429551493,2.0416282915535433,-0.26583090741520166,0.6749259775533138,0,38,1,1,1,0,0,0,0,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
0039_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,39,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.0
0041_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,41,1,1,1,0,0,0,0,0,0,11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0043_01,0,0,-0.3375298928969419,-0.181112502300369,-0.2121052536394466,1.95721993234957,0.48807502980903417,0.7531740366037044,0,43,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3.0
0044_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,44,3,0,1,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4.0
0044_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,44,3,0,1,0,0,0,0,0,0,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0
0044_03,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,44,3,0,1,0,0,0,0,0,0,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.0
0045_01,0,0,1.131487451582338,-0.2838651282377854,0.013727814307661582,-0.2738262777680785,-0.20939818228964485,-0.08656990620526073,0,45,2,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0045_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,45,2,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0050_01,0,0,0.8588862948748429,-0.2838651282377854,-0.2873829429551493,-0.13267061188841686,-0.26583090741520166,-0.18087019447854522,0,50,1,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
0051_01,0,0,-0.3375298928969419,-0.21369260320735467,-0.2873829429551493,0.951427694255911,-0.15384721849417485,0.057121984050911206,0,51,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4.0
0052_01,0,0,-0.3314720894145531,-0.2838651282377854,-0.28403726787445144,3.887061576465672,-0.26583090741520166,1.149393753795228,0,52,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0053_01,0,0,-0.3375298928969419,-0.2838651282377854,2.9545762102411146,-0.2738262777680785,-0.26494914608511483,0.17129301566534486,0,53,1,1,1,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0056_01,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,56,3,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0
0056_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,56,3,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3.0
0056_03,0,0,0.08500189999967578,0.09519181500695202,5.356770918182206,-0.019712691111906638,-0.2631856234249412,1.0988881884081576,0,56,3,0,1,0,0,0,0,0,0,6,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2.0
0058_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,58,1,1,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.0
0061_01,0,0,-0.2693796037200681,0.40282315241714384,-0.039802986983504804,0.9496506761674063,-0.26494914608511483,0.4302229565230012,0,61,1,1,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0062_01,0,0,-0.3375298928969419,0.08704678978020561,-0.2873829429551493,-0.2587216240157885,-0.24378687416303105,-0.2928602437017452,0,62,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4.0
0064_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,64,2,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0064_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,64,2,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2.0
0066_01,0,0,-0.3360154420263447,-0.18800444672300057,0.042166052493593724,-0.2738262777680785,0.13977930442473807,-0.22990612346574907,0,66,1,1,1,0,0,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4.0
0067_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,67,3,0,1,0,0,0,0,0,0,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0
0067_02,0,0,-0.3360154420263447,-0.12221770450697175,0.45870260004048213,-0.2738262777680785,-0.26583090741520166,-0.26760746100821003,0,67,3,0,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0
0067_03,0,0,2.6095915012852013,-0.260683133361661,-0.2873829429551493,-0.2738262777680785,-0.24466863549311788,0.19547877937182923,0,67,3,0,1,0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
0068_01,0,0,0.8634296474866344,-0.2838651282377854,-0.28403726787445144,-0.049033489572234155,-0.26583090741520166,-0.14561162348873732,0,68,1,1,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2.0
0069_01,0,0,1.0057880293227708,-0.2838651282377854,-0.27232740509200876,-0.2684952235025644,-0.26583090741520166,-0.19753988085854204,0,69,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3.0
0070_01,0,0,-0.04978422748347466,-0.2838651282377854,-0.2790187552534046,-0.27293776872382614,0.3743278182278337,-0.19042642094487014,0,70,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0071_01,0,0,-0.3132986789673868,1.0725948422165228,-0.2873829429551493,-0.2738262777680785,-0.21997931825068676,0.27586087639632145,0,71,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0
0072_01,0,0,-0.3375298928969419,-0.283238587835728,-0.2873829429551493,-0.2738262777680785,0.6714813864670939,-0.13992085555779982,0,72,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0073_01,0,0,-0.2678651528494709,-0.23186227486701977,0.9471711618223754,-0.2738262777680785,-0.2552497714541598,-0.2057203597592647,0,73,1,1,1,0,0,0,0,0,0,11,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0
0074_01,0,0,-0.3360154420263447,4.977194627838347,-0.2873829429551493,-0.2738262777680785,0.18034032560873203,2.648555430601576,0,74,1,1,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3.0
0076_01,0,0,-0.11490561491915409,-0.2838651282377854,1.4155656731200812,-0.2738262777680785,-0.26583090741520166,-0.10399788299375684,0,76,1,1,1,0,0,0,0,0,0,11,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0077_01,0,0,-0.31632758070858114,-0.2838651282377854,1.87894167179674,-0.2738262777680785,-0.26583090741520166,-0.05278097161531931,0,77,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0078_01,0,0,-0.3375298928969419,3.3751308197775316,-0.2873829429551493,0.011385125436925578,8.246692973243011,5.1066115037708935,0,78,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3.0
0081_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,81,1,1,1,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0
0082_01,0,0,10.87849325474589,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,2.115757283067553,0,82,3,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.0
0082_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,82,3,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0
0082_03,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,82,3,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0
0084_01,0,0,0.7044123060739289,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.25084096480372564,-0.26760746100821003,0,84,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0085_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,85,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3.0
0086_01,0,0,-0.01798075920093355,-0.2838651282377854,-0.2873829429551493,0.29304249246492026,0.18651265491933983,-0.033930302844088836,0,86,1,1,1,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3.0
0088_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,88,1,1,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3.0
0090_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,90,1,1,1,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0091_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,91,2,0,1,0,0,0,0,0,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0091_02,0,0,-0.3360154420263447,0.15283353199623442,-0.23552497920433188,-0.10678657744863684,-0.26583090741520166,-0.19220478592328813,0,91,2,0,1,0,0,0,0,0,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0092_01,0,0,-0.3375298928969419,-0.2838651282377854,0.8334182090786468,-0.27293776872382614,-0.2358510221922496,-0.26760746100821003,0,92,3,0,1,0,0,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2.0
0092_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,92,3,0,1,0,0,0,0,0,0,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0092_03,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,92,3,0,1,0,0,0,0,0,0,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0097_01,0,0,-0.3375298928969419,0.4729956774475746,-0.2873829429551493,-0.2711607506353214,0.2958510598501062,0.1389267730581378,0,97,1,1,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4.0
0098_01,0,0,-0.3375298928969419,0.25245345592336377,-0.2790187552534046,-0.2453939883520033,-0.26583090741520166,-0.20074093781969438,0,98,2,0,1,0,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2.0
0098_02,0,0,-0.3375298928969419,1.4773399419456146,1.3135225831587953,-0.2738262777680785,-0.18911767169764784,0.8527624753951106,0,98,2,0,1,0,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2.0
0099_01,0,0,0.13346432785878604,-0.016332376559268242,0.5925296032683981,-0.24095144313074154,-0.26583090741520166,-0.055626355580788066,0,99,2,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2.0
0099_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,99,2,0,1,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0
0101_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,101,1,1,1,0,0,0,0,0,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0102_01,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,0.46363622896137124,-0.18559062637730056,-0.19078209394055376,0,102,1,1,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.0
0103_01,0,0,-0.3375298928969419,-0.1789215422754185,-0.2873829429551493,-0.2738262777680785,-0.25084096480372564,-0.4527363516640967,0,103,3,0,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0
0103_02,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,103,3,0,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
0103_03,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,103,3,0,1,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0
0105_01,0,0,-0.3375298928969419,-0.2838651282377854,0.6661344550437519,-0.2720492596795738,-0.15032017317382754,-0.2683188069995772,0,105,1,1,1,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.0
0107_01,0,0,2.3021579745539706,-0.28073242622749833,-0.25894470476921716,-0.2738262777680785,-0.26583090741520166,0.1094059144163995,0,107,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.0
0108_01,1,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,108,3,0,1,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0108_02,0,0,0.5135914963786822,-0.2838651282377854,0.2579620951986082,-0.2738262777680785,-0.26583090741520166,-0.20251930279811234,0,108,3,0,1,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.0
0108_03,0,0,-0.3375298928969419,-0.2838651282377854,-0.2873829429551493,-0.2738262777680785,-0.26583090741520166,-0.5183569229651437,1,108,3,0,1,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.0
